gen,dmid,dmid_NMDF,dpw,dpw_NMDF,dtd,dtd_NMDF,dmi,dmi_NMDF,drad,drad_NMDF,dmst,dmst_NMDF
1,1.0,6583.701133693548,1.0,125.53097836398162,1.0,8.992980481868655,1.0,808736.979472707,1.0,8456.909721903598,1.0,6791.562112138832
2,0.9777074067073747,6583.701133693548,0.9774194032242117,125.53097836398162,0.9789299533159642,8.992980481868655,0.9583038534991931,808736.979472707,0.9587379614314177,8456.909721903598,0.9749299242243727,6791.562112138832
3,0.9976068983978044,6583.701133693548,0.9788769834548164,125.53097836398162,0.9776705723938557,8.992980481868655,0.9558397481249269,808736.979472707,0.9791732394915209,8456.909721903598,1.0,6805.433217361228
4,0.9836626768380106,6583.701133693548,0.9755337875687616,125.53097836398162,0.976146671494637,8.992980481868655,0.952862324270058,808736.979472707,0.9725983812305984,8456.909721903598,0.9799310578612055,6805.433217361228
5,0.9935430934763677,6583.701133693548,0.9592831885221326,125.53097836398162,0.9592052281080026,8.992980481868655,0.9200746696297241,808736.979472707,0.9779421837584148,8456.909721903598,0.9879672541368615,6805.433217361228
6,0.948875005144667,6583.701133693548,0.9374638506896501,125.53097836398162,0.9368526058997243,8.992980481868655,0.8776928051811036,808736.979472707,0.9431821718587526,8456.909721903598,0.9515233036676339,6805.433217361228
7,0.979977310483523,6583.701133693548,0.9830110175701434,125.53097836398162,0.9824785148847169,8.992980481868655,0.9652640322100773,808736.979472707,0.9620459831769984,8456.909721903598,0.9777452310931822,6805.433217361228
8,0.9358589205492427,6583.701133693548,0.9179966479460666,125.53097836398162,0.9185127324286383,8.992980481868655,0.8436656396335221,808736.979472707,0.9245621068348255,8456.909721903598,0.9331688624687461,6805.433217361228
9,0.9232307951657036,6583.701133693548,0.9267476696466741,125.53097836398162,0.9263751362429501,8.992980481868655,0.8581708930491428,808736.979472707,0.9213135677698409,8456.909721903598,0.9284841503214172,6805.433217361228
10,0.9021146781528198,6583.701133693548,0.9061143969685103,125.53097836398162,0.9070008031284663,8.992980481868655,0.8226504568756814,808736.979472707,0.9008620204404144,8456.909721903598,0.9052333993260834,6805.433217361228
11,0.8932495860210026,6583.701133693548,0.8965955279224447,125.53097836398162,0.8979187135140966,8.992980481868655,0.8062580160788095,808736.979472707,0.8888570726575412,8456.909721903598,0.8973179633009403,6805.433217361228
12,0.910765172644998,6583.701133693548,0.8916600302599746,125.53097836398162,0.8919214412845409,8.992980481868655,0.7955238574230926,808736.979472707,0.9073589068097413,8456.909721903598,0.9025734381766524,6805.433217361228
13,0.9108912848112993,6583.701133693548,0.8736730631724594,125.53097836398162,0.8737263117507018,8.992980481868655,0.7633976678454824,808736.979472707,0.8956055886975732,8456.909721903598,0.8984076150900746,6805.433217361228
14,0.8655752314002371,6583.701133693548,0.8627812032310873,125.53097836398162,0.863536774669177,8.992980481868655,0.7456957612060423,808736.979472707,0.862520812843824,8456.909721903598,0.8614982339466192,6805.433217361228
15,0.8905387868610216,6583.701133693548,0.8788250246419421,125.53097836398162,0.8793086499577264,8.992980481868655,0.7731837018904781,808736.979472707,0.8787154112144758,8456.909721903598,0.8915045135131976,6805.433217361228
16,0.869414950758535,6583.701133693548,0.8621356612386814,125.53097836398162,0.8633909188433402,8.992980481868655,0.7454438787411473,808736.979472707,0.8622379646382586,8456.909721903598,0.8618581947913913,6805.433217361228
17,0.8779598001967708,6583.701133693548,0.868753353432398,125.53097836398162,0.8697525663872954,8.992980481868655,0.7564695267372855,808736.979472707,0.8805950649351444,8456.909721903598,0.8750061897328979,6805.433217361228
18,0.8869107667060578,6583.701133693548,0.85151030083587,125.53097836398162,0.8519700247516635,8.992980481868655,0.7258529230753488,808736.979472707,0.8725410055200933,8456.909721903598,0.8740526445089293,6805.433217361228
